A;B;mag1;mag2;couple_mag;union_product;commun_reappro1
147;187;187;147;(147, 187);120;79
147;174;174;147;(147, 174);118;79
147;297;297;147;(147, 297);120;79
147;39;147;39;(147, 39);117;79
147;185;185;147;(147, 185);119;81
147;115;147;115;(147, 115);119;79
147;78;147;78;(147, 78);117;78
147;4;147;4;(147, 4);118;78
147;189;189;147;(147, 189);133;79
147;199;199;147;(147, 199);117;79
147;25;147;25;(147, 25);116;79
147;51;147;51;(147, 51);118;80
147;294;294;147;(147, 294);121;79
147;298;298;147;(147, 298);118;78
147;146;147;146;(147, 146);121;76
147;59;147;59;(147, 59);122;79
147;30;147;30;(147, 30);116;80
147;159;159;147;(147, 159);118;79
147;23;147;23;(147, 23);132;82
147;26;147;26;(147, 26);116;78
147;72;147;72;(147, 72);120;79
147;155;155;147;(147, 155);122;79
147;18;147;18;(147, 18);118;79
147;88;147;88;(147, 88);133;82
147;194;194;147;(147, 194);118;78
147;180;180;147;(147, 180);118;79
147;293;293;147;(147, 293);130;77
147;173;173;147;(147, 173);128;79
195;37;195;37;(195, 37);131;81
195;143;195;143;(195, 143);122;78
195;144;195;144;(195, 144);120;81
195;5;195;5;(195, 5);126;78
195;133;195;133;(195, 133);119;77
195;49;195;49;(195, 49);125;81
195;292;292;195;(195, 292);119;80
195;171;195;171;(195, 171);118;79
195;52;195;52;(195, 52);136;78
195;296;296;195;(195, 296);120;79
195;80;195;80;(195, 80);117;81
195;28;195;28;(195, 28);119;79
195;137;195;137;(195, 137);121;77
195;75;195;75;(195, 75);118;82
195;53;195;53;(195, 53);124;81
195;24;195;24;(195, 24);118;80
195;43;195;43;(195, 43);121;78
195;40;195;40;(195, 40);119;79
195;66;195;66;(195, 66);133;80
195;198;198;195;(195, 198);118;81
195;110;195;110;(195, 110);131;78
195;74;195;74;(195, 74);136;79
195;190;195;190;(195, 190);118;81
195;172;195;172;(195, 172);132;80
195;69;195;69;(195, 69);120;79
195;161;195;161;(195, 161);132;80
195;165;195;165;(195, 165);119;81
195;60;195;60;(195, 60);122;81
195;131;195;131;(195, 131);116;79
195;181;195;181;(195, 181);132;80
195;139;195;139;(195, 139);118;81
195;111;195;111;(195, 111);130;81
195;20;195;20;(195, 20);118;80
195;19;195;19;(195, 19);121;77
195;82;195;82;(195, 82);134;80
195;21;195;21;(195, 21);117;79
195;192;195;192;(195, 192);118;81
195;48;195;48;(195, 48);120;80
195;160;195;160;(195, 160);117;79
195;295;295;195;(195, 295);120;79
195;140;195;140;(195, 140);133;77
195;77;195;77;(195, 77);120;80
195;167;195;167;(195, 167);119;78
195;135;195;135;(195, 135);117;79
195;81;195;81;(195, 81);135;81
195;50;195;50;(195, 50);117;79
195;168;195;168;(195, 168);133;81
195;196;196;195;(195, 196);117;53
195;183;195;183;(195, 183);117;79
195;116;195;116;(195, 116);123;79
195;186;195;186;(195, 186);122;81
195;184;195;184;(195, 184);116;80
195;178;195;178;(195, 178);118;79
195;188;195;188;(195, 188);117;79
195;157;195;157;(195, 157);118;82
195;54;195;54;(195, 54);131;81
195;15;195;15;(195, 15);123;79
195;156;195;156;(195, 156);134;78
195;11;195;11;(195, 11);117;81
195;73;195;73;(195, 73);116;79
195;169;195;169;(195, 169);116;80
195;16;195;16;(195, 16);124;79
195;64;195;64;(195, 64);118;78
195;56;195;56;(195, 56);117;80
195;47;195;47;(195, 47);117;82
195;193;195;193;(195, 193);118;79
195;29;195;29;(195, 29);133;79
195;151;195;151;(195, 151);133;79
195;175;195;175;(195, 175);118;81
195;150;195;150;(195, 150);139;80
195;158;195;158;(195, 158);116;80
195;55;195;55;(195, 55);128;80
195;148;195;148;(195, 148);117;77
195;176;195;176;(195, 176);132;80
195;182;195;182;(195, 182);126;64
195;36;195;36;(195, 36);118;75
195;153;195;153;(195, 153);122;76
195;71;195;71;(195, 71);136;79
195;177;195;177;(195, 177);118;80
195;163;195;163;(195, 163);121;80
195;14;195;14;(195, 14);117;79
195;166;195;166;(195, 166);118;81
195;117;195;117;(195, 117);121;79
195;41;195;41;(195, 41);118;81
195;32;195;32;(195, 32);118;81
195;145;195;145;(195, 145);119;81
195;22;195;22;(195, 22);121;80
195;13;195;13;(195, 13);118;82
195;205;205;195;(195, 205);118;52
195;6;195;6;(195, 6);118;73
195;130;195;130;(195, 130);118;79
195;45;195;45;(195, 45);117;81
195;46;195;46;(195, 46);121;80
195;164;195;164;(195, 164);116;78
195;27;195;27;(195, 27);118;81
195;67;195;67;(195, 67);120;80
195;12;195;12;(195, 12);119;79
